Rank,Company Code,Company Name,Price,Change,Percent,Market,Year
293,AKP,Audio Pixels Holdings Ltd,$27.63,+0.63,+2.33%,$792.94 M,+58.07%
294,KMD,Kathmandu Holdings Ltd,$1.115,+0.035,+3.24%,$790.54 M,-46.95%
295,-,BGP,Briscoe Group Australasia Ltd,$3.50,0.00,0.00%,$777.77 M
296,OML,Ooh!Media Ltd,$1.305,+0.03,+2.35%,$772.28 M,-43.05%
297,KKC,KKR Credit Income Fund,$2.07,+0.02,+0.98%,$765.90 M,-16.53%
298,IEM,Ishares MSCI Emerging Markets ETF,$64.65,+0.86,+1.35%,$760.40 M,+2.78%
299,HSN,Hansen Technologies Ltd,$3.77,-0.03,-0.79%,$749.49 M,+6.80%
300,PRN,Perenti Global Ltd,$1.065,+0.055,+5.45%,$747.63 M,-54.29%
301,ALK,Alkane Resources Ltd,$1.255,+0.02,+1.62%,$747.21 M,+83.40%
302,IXJ,Ishares Global Healthcare ETF,$98.86,+0.92,+0.94%,$745.76 M,+6.19%
303,-,HGH,Heartland Group Holdings Ltd,$1.275,0.00,0.00%,$743.86 M
304,TGR,Tassal Group Ltd,$3.51,-0.02,-0.57%,$741.78 M,-17.61%
305,OPT,Opthea Ltd,$2.19,-0.01,-0.46%,$739.49 M,-34.04%
306,SFR,Sandfire Resources Ltd,$4.13,-0.31,-6.98%,$736.18 M,-30.82%
307,MMS,Mcmillan Shakespeare Ltd,$9.49,+0.22,+2.37%,$734.35 M,-40.80%
308,BVS,Bravura Solutions Ltd,$2.97,+0.09,+3.13%,$734.08 M,-28.09%
309,-,IAP,Investec Australia Property Fund,$1.20,0.00,0.00%,$733.56 M
310,-,VAH,Virgin Australia Holdings Ltd,$0.086,0.00,0.00%,$726.29 M
311,-,QPON,Betashares Australian Bank Senior Floating Rate Bond ETF,$26.13,0.00,0.00%,$721.90 M
312,GWA,GWA Group Ltd,$2.73,+0.07,+2.63%,$721.26 M,-7.77%
313,GMA,Genworth Mortgage Insurance Australia Ltd,$1.70,+0.005,+0.30%,$701.27 M,-56.19%
314,JIN,Jumbo Interactive Ltd,$11.20,+0.45,+4.19%,$699.43 M,-45.39%
315,SIQ,Smartgroup Corporation Ltd,$5.26,-0.09,-1.68%,$698.64 M,-53.78%
316,OPC,Opticomm Ltd,$6.69,-0.03,-0.45%,$696.26 M,+66.42%
317,JLG,Johns LYNG Group Ltd,$3.07,+0.01,+0.33%,$687.38 M,+64.17%
318,SHV,Select Harvests Ltd,$5.74,-0.34,-5.59%,$687.19 M,-20.64%
319,AAC,Australian Agricultural Company Ltd,$1.125,+0.015,+1.35%,$678.11 M,+12.50%
320,SZL,Sezzle Inc,$6.62,+0.22,+3.44%,$671.71 M,+156.59%
321,NCK,Nick Scali Ltd,$8.29,+0.1,+1.22%,$671.49 M,+35.24%
322,FAIR,Betashares Australian Sustainability Leaders ETF,$17.48,+0.05,+0.29%,$670.32 M,-3.80%
323,IAA,Ishares Asia 50 ETF,$108.22,+2.24,+2.11%,$647.09 M,+18.75%
324,ADH,Adairs Ltd,$3.80,+0.15,+4.11%,$642.49 M,+108.79%
325,-,OPH,Ophir High Conviction Fund,$3.20,0.00,0.00%,$640.00 M
326,AGG,Anglogold Ashanti Ltd,$7.15,+0.59,+8.99%,$637.84 M,+14.22%
327,MICH,Magellan Infrastructure Fund (Currency Hedged)(Managed Fund),$2.73,+0.06,+2.25%,$634.90 M,-16.77%
328,URW,Unibail-Rodamco-Westfield,$2.87,-0.07,-2.38%,$633.69 M,-74.26%
329,SFY,SPDR S&P/ASX 50 Fund,$53.75,+1.1,+2.09%,$630.04 M,-12.35%
330,CIN,Carlton Investments Ltd,$23.55,-0.1,-0.42%,$623.48 M,-25.85%
331,PAR,Paradigm Biopharmaceuticals Ltd,$2.75,-0.03,-1.08%,$621.11 M,-3.17%
332,-,IRI,Integrated Research Ltd,$3.47,0.00,0.00%,$597.45 M
333,CCX,City Chic Collective Ltd,$2.61,+0.08,+3.16%,$596.81 M,-3.33%
334,NTO,Nitro Software Ltd,$3.13,+0.02,+0.64%,$595.80 M,+105.92%
335,CMM,Capricorn Metals Ltd,$1.72,+0.065,+3.93%,$591.64 M,+56.36%
336,MOE,Moelis Australia Ltd,$3.90,-0.03,-0.76%,$589.45 M,-9.30%
337,UWL,Uniti Group Ltd,$1.18,+0.02,+1.72%,$588.51 M,-20.29%
338,GDI,GDI Property Group,$1.08,+0.015,+1.41%,$585.39 M,-30.10%
339,DJW,Djerriwarrh Investments Ltd,$2.59,+0.02,+0.78%,$582.14 M,-28.26%
340,VGB,Vanguard Australian Government Bond INDEX ETF,$53.99,+0.23,+0.43%,$577.65 M,+1.37%
341,360,LIFE360 Inc,$3.85,+0.09,+2.39%,$573.14 M,+7.54%
342,IFM,Infomedia Ltd,$1.525,+0.015,+0.99%,$572.21 M,-33.41%
343,GXY,Galaxy Resources Ltd,$1.39,+0.015,+1.09%,$569.18 M,+29.91%
344,BILL,Ishares Core Cash ETF,$100.28,+0.01,+0.01%,$564.66 M,+0.01%
345,AFG,Australian Finance Group Ltd,$2.10,+0.135,+6.87%,$563.60 M,-21.26%
346,RMC,Resimac Group Ltd,$1.365,+0.005,+0.37%,$556.59 M,+40.72%
347,CDV,Cardinal Resources Ltd,$1.03,+0.01,+0.98%,$554.01 M,+174.67%
348,-,ERA,Energy Resources of Australia Ltd,$0.15,0.00,0.00%,$553.71 M
349,AD8,Audinate Group Ltd,$7.27,+0.17,+2.39%,$553.02 M,-3.71%
350,SIG,Sigma Healthcare Ltd,$0.52,+0.005,+0.97%,$550.87 M,-22.39%
351,AMA,AMA Group Ltd,$0.75,-0.01,-1.32%,$550.43 M,-45.06%
352,VIF,Vanguard International Fixed Interest INDEX (Hedged) ETF,$49.44,+0.02,+0.04%,$547.14 M,-2.68%
353,BRN,Brainchip Holdings Ltd,$0.34,+0.005,+1.49%,$545.82 M,+608.33%
354,TLX,TELIX Pharmaceuticals Ltd,$2.14,-0.02,-0.93%,$543.44 M,+34.17%
355,API,Australian Pharmaceutical Industries Ltd,$1.10,+0.015,+1.38%,$541.92 M,-19.41%
356,-,RED,RED 5 Ltd,$0.275,0.00,0.00%,$541.91 M
357,-,ABY,Adore Beauty Group Ltd,$5.75,0.00,0.00%,$541.22 M
358,WSA,Western Areas Ltd,$1.955,+0.065,+3.44%,$537.76 M,-37.74%
359,BBN,Baby Bunting Group Ltd,$4.16,+0.06,+1.46%,$537.70 M,+7.77%
360,PYC,PYC Therapeutics Ltd,$0.17,+0.005,+3.03%,$533.60 M,+205.84%
361,SPL,Starpharma Holdings Ltd,$1.32,-0.03,-2.22%,$532.54 M,+11.86%
362,AQZ,Alliance Aviation Services Ltd,$3.31,+0.07,+2.16%,$531.13 M,+33.47%
363,FGG,Future Generation Global Investment Company Ltd,$1.35,+0.03,+2.27%,$530.48 M,+5.88%
364,AHY,Asaleo Care Ltd,$0.975,-0.005,-0.51%,$529.54 M,+2.63%
365,JMS,Jupiter Mines Ltd,$0.27,-0.02,-6.90%,$528.93 M,-16.92%
366,RDC,Redcape Hotel Group,$0.95,+0.01,+1.06%,$524.59 M,-11.22%
367,IHVV,Ishares S&P 500 Aud Hedged ETF,$395.60,+5.25,+1.35%,$522.68 M,+2.98%
368,ADI,Apn Industria REIT,$2.64,+0.01,+0.38%,$521.47 M,-10.51%
369,MAH,Macmahon Holdings Ltd,$0.24,-0.005,-2.04%,$517.20 M,+14.29%
370,BWX,BWX Ltd,$3.70,-0.1,-2.63%,$516.31 M,-7.27%
371,PPC,Peet Ltd,$1.065,+0.015,+1.43%,$514.72 M,-11.25%
372,MMM,Marley Spoon AG,$2.49,+0.13,+5.51%,$514.56 M,+492.86%
373,-,COE,Cooper Energy Ltd,$0.315,0.00,0.00%,$512.39 M
374,CSX,Cleanspace Holdings Ltd,$6.65,-0.1,-1.48%,$512.18 M,-10.38%
375,EQT,EQT Holdings Ltd,$24.50,+0.02,+0.08%,$512.05 M,-19.94%
376,SLF,SPDR S&P/ASX 200 Listed Property Fund,$11.22,+0.24,+2.19%,$509.95 M,-21.54%
377,MYX,Mayne Pharma Group Ltd,$0.30,+0.005,+1.70%,$503.72 M,-41.75%
378,PGG,Partners Group Global Income Fund,$1.82,+0.03,+1.68%,$500.68 M,-10.78%
379,VDHG,Vanguard Diversified High Growth INDEX ETF,$53.15,+0.74,+1.41%,$498.85 M,-5.26%
380,AFP,Aft Pharmaceuticals Ltd,$4.81,+0.13,+2.78%,$498.78 M,+71.79%
381,IEU,Ishares Europe ETF,$57.50,+1.18,+2.10%,$498.36 M,-12.00%
382,SKO,Serko Ltd,$4.61,+0.05,+1.10%,$496.04 M,+3.36%
383,ECX,Eclipx Group Ltd,$1.535,+0.095,+6.60%,$490.64 M,-7.25%
384,LME,"Limeade, Inc",$1.98,+0.1,+5.32%,$485.07 M,+7.03%
385,HPI,Hotel Property Investments,$3.07,+0.01,+0.33%,$484.31 M,-4.95%
386,IMD,IMDEX Ltd,$1.21,+0.025,+2.11%,$479.71 M,-23.42%
387,VGI,VGI Partners Ltd,$6.85,+0.48,+7.54%,$477.99 M,-54.64%
388,APL,Antipodes Global Investment Company Ltd,$0.985,+0.01,+1.03%,$477.90 M,+4.79%
389,FXL,Flexigroup Ltd,$0.96,+0.04,+4.35%,$475.46 M,-50.14%
390,ELO,Elmo Software Ltd,$5.50,+0.1,+1.85%,$475.29 M,-15.39%
391,SGF,SG Fleet Group Ltd,$1.795,+0.105,+6.21%,$470.58 M,-23.94%
392,AEF,Australian Ethical Investment Ltd,$4.13,-0.15,-3.51%,$464.16 M,+41.92%
393,-,MIR,Mirrabooka Investments Ltd,$2.85,0.00,0.00%,$462.67 M
394,CWP,Cedar Woods Properties Ltd,$5.73,+0.14,+2.50%,$462.66 M,-18.84%
395,PWH,PWR Holdings Ltd,$4.60,+0.02,+0.44%,$460.83 M,-3.77%
396,WHF,Whitefield Ltd,$4.80,-0.01,-0.21%,$460.76 M,-6.62%
397,PL8,Plato Income Maximiser Ltd,$1.075,+0.005,+0.47%,$460.57 M,-7.73%
398,FGX,Future Generation Investment Company Ltd,$1.14,+0.01,+0.89%,$456.39 M,+0.89%
399,WGB,Wam Global Ltd,$2.13,+0.02,+0.95%,$453.08 M,+0.47%
400,SSR,SSR Mining Inc,$27.60,+1.3,+4.94%,$447.39 M,-10.27%
401,SXY,SENEX Energy Ltd,$0.305,+0.02,+7.02%,$445.32 M,-14.09%
402,FSF,Fonterra Shareholders' Fund,$4.20,-0.07,-1.64%,$444.14 M,+9.09%
403,CGL,The Citadel Group Ltd,$5.64,+0.01,+0.18%,$443.93 M,+58.87%
404,AVH,"Avita Therapeutics, Inc",$5.80,+0.17,+3.02%,$443.66 M,-56.39%
405,VRL,Village Roadshow Ltd,$2.27,+0.03,+1.34%,$443.33 M,-29.28%
406,VG8,Vgi Partners Asian Investments Ltd,$1.99,+0.005,+0.25%,$443.01 M,-14.22%
407,PAI,Platinum Asia Investments Ltd,$1.20,+0.005,+0.42%,$437.53 M,+21.21%
408,KAR,Karoon Energy Ltd,$0.78,+0.025,+3.31%,$431.71 M,-19.59%
409,MNY,MONEY3 Corporation Ltd,$2.32,+0.05,+2.20%,$429.86 M,+13.73%
410,BBOZ,Betashares Australian Strong Bear (Hedge Fund),$7.79,-0.39,-4.77%,$429.62 M,-20.75%
411,MCR,Mincor Resources NL,$0.995,+0.1,+11.17%,$429.16 M,+47.41%
412,SXL,Southern Cross Media Group Ltd,$0.16,-0.01,-5.88%,$422.74 M,-81.61%
413,SPT,Splitit Payments Ltd,$1.25,-0.02,-1.58%,$422.67 M,+25.63%
414,PPK,PPK Group Ltd,$4.91,-0.61,-11.05%,$421.64 M,-6.65%
415,HT1,HT&E Ltd,$1.50,+0.05,+3.45%,$419.59 M,-9.37%
416,CRED,Betashares Australian Investment Grade Corporate Bond ETF,$27.88,+0.1,+0.36%,$419.57 M,+1.12%
417,BTH,Bigtincan Holdings Ltd,$1.10,+0.02,+1.85%,$416.49 M,+59.42%
418,ASM,Australian Strategic Materials Ltd,$3.49,+0.14,+4.18%,$415.48 M,+149.29%
419,PCI,Perpetual Credit Income Trust,$1.035,+0.005,+0.49%,$414.35 M,-8.00%
420,STX,Strike Energy Ltd,$0.24,+0.005,+2.13%,$412.90 M,+6.67%
421,GDX,Vaneck Vectors Gold Miners ETF,$54.95,+1.03,+1.91%,$412.84 M,+35.45%
422,FDV,Frontier Digital Ventures Ltd,$1.22,+0.035,+2.95%,$411.96 M,+57.60%
423,AMI,Aurelia Metals Ltd,$0.47,+0.02,+4.44%,$410.77 M,-7.84%
424,AQR,Apn Convenience Retail REIT,$3.63,+0.08,+2.25%,$410.45 M,+5.52%
425,PLL,Piedmont Lithium Ltd,$0.295,+0.015,+5.36%,$408.93 M,+180.95%
426,PWG,Primewest,$1.17,-0.01,-0.85%,$408.49 M,-0.85%
427,LTR,Liontown Resources Ltd,$0.235,+0.01,+4.44%,$408.15 M,+123.81%
428,EHL,Emeco Holdings Ltd,$0.75,+0.015,+2.04%,$408.04 M,-51.91%
429,ADT,Adriatic Metals Plc,$2.31,+0.01,+0.44%,$405.85 M,+121.05%
430,BFG,Bell Financial Group Ltd,$1.255,+0.015,+1.21%,$402.53 M,+25.50%
431,BUB,Bubs Australia Ltd,$0.645,+0.015,+2.38%,$395.24 M,-41.36%
432,GCI,Gryphon Capital Income Trust,$1.91,+0.005,+0.26%,$393.70 M,-5.56%
433,VGE,Vanguard Ftse Emerging Markets Shares ETF,$70.27,+0.73,+1.05%,$392.02 M,+1.66%
434,RF1,Regal Investment Fund,$3.46,+0.05,+1.47%,$389.98 M,+26.74%
435,VACF,Vanguard Australian Corp Fixed Interest INDEX ETF,$53.81,+0.09,+0.17%,$389.17 M,+1.05%
436,VSO,Vanguard MSCI Australian Small Companies INDEX ETF,$58.45,+1.58,+2.78%,$388.20 M,-2.57%
437,ARX,Aroa Biosurgery Ltd,$1.285,+0.02,+1.58%,$385.60 M,-4.82%
438,MNF,MNF Group Ltd,$4.54,+0.06,+1.34%,$383.52 M,-14.34%
439,TBR,Tribune Resources Ltd,$7.15,+0.15,+2.14%,$375.15 M,-11.73%
440,MYS,Mystate Ltd,$4.07,+0.02,+0.49%,$374.57 M,-14.50%
441,NVX,Novonix Ltd,$1.065,+0.04,+3.90%,$374.47 M,+152.95%
442,UOS,United Overseas Australia Ltd,$0.77,+0.005,+0.65%,$370.56 M,-7.23%
443,CVN,Carnarvon Petroleum Ltd,$0.235,+0.01,+4.44%,$367.75 M,-36.49%
444,PGF,PM Capital Global Opportunities Fund Ltd,$1.025,+0.025,+2.50%,$364.76 M,-10.09%
445,PMC,Platinum Capital Ltd,$1.245,+0.015,+1.22%,$362.82 M,-19.16%
446,WSP,Whispir Ltd,$3.47,+0.07,+2.06%,$361.79 M,+90.14%
447,VRT,Virtus Health Ltd,$4.49,+0.19,+4.42%,$360.95 M,+4.66%
448,MVP,Medical Developments International Ltd,$5.50,+0.26,+4.96%,$360.93 M,-9.69%
449,4DX,4DMEDICAL Ltd,$2.17,-0.03,-1.36%,$360.11 M,+36.48%
450,IVE,Ishares MSCI Eafe ETF,$89.18,+1.48,+1.69%,$359.17 M,-9.29%
451,QAU,Betashares Gold Bullion ETF - Currency Hedged,$18.00,+0.1,+0.56%,$351.11 M,+17.80%
452,PIC,Perpetual Equity Investment Company Ltd,$1.005,+0.005,+0.50%,$350.43 M,-1.47%
453,EHE,Estia Health Ltd,$1.335,+0.06,+4.71%,$348.83 M,-53.81%
454,MVA,Vaneck Vectors Australian Property ETF,$20.55,+0.68,+3.42%,$345.23 M,-20.41%
455,-,QRI,Qualitas Real Estate Income Fund,$1.52,0.00,0.00%,$342.75 M
456,AOF,Australian Unity Office Fund,$2.10,+0.05,+2.44%,$341.95 M,-30.23%
457,ABB,Aussie Broadband Ltd,$1.785,-0.02,-1.11%,$339.76 M,-6.55%
458,SGLLV,Ricegrowers Ltd,$5.58,-0.01,-0.18%,$339.21 M,+44.94%
459,PPS,Praemium Ltd,$0.68,+0.045,+7.09%,$336.02 M,+2.26%
460,GGG,Greenland Minerals Ltd,$0.28,+0.01,+3.70%,$335.27 M,+166.67%
461,DTC,Damstra Holdings Ltd,$1.805,+0.045,+2.56%,$335.15 M,+66.36%
462,-,LEG,Legend Mining Ltd,$0.125,0.00,0.00%,$334.78 M
463,IHCB,Ishares Core Global Corporate Bond(Aud Hedged) ETF,$112.21,+0.36,+0.32%,$333.49 M,+1.74%
464,MOT,MCP Income Opportunities Trust,$1.91,-0.005,-0.26%,$330.90 M,-9.05%
465,TUA,Tuas Ltd,$0.71,-0.04,-5.33%,$329.38 M,+5.19%
466,-,SLC,Superloop Ltd,$0.90,0.00,0.00%,$329.28 M
467,WPP,WPP AUNZ Ltd,$0.385,-0.015,-3.75%,$328.08 M,-25.24%
468,ALI,Argo Global Listed Infrastructure Ltd,$2.12,+0.02,+0.95%,$324.72 M,-9.20%
469,REG,Regis Healthcare Ltd,$1.075,+0.035,+3.37%,$323.34 M,-66.09%
470,PIA,Pengana International Equities Ltd,$1.27,-0.03,-2.31%,$323.21 M,+15.98%
471,ASIA,Betashares Asia Technology Tigers ETF,$10.74,+0.1,+0.94%,$322.63 M,+62.73%
472,CAT,Catapult Group International Ltd,$1.685,+0.03,+1.81%,$321.66 M,+18.25%
473,RHP,Rhipe Ltd,$1.995,-0.025,-1.24%,$321.46 M,-30.00%
474,WMI,Wam Microcap Ltd,$1.55,+0.035,+2.31%,$320.38 M,+7.64%
475,VGL,Vista Group International Ltd,$1.40,+0.01,+0.72%,$320.06 M,-59.16%
476,VHT,Volpara Health Technologies Ltd,$1.275,-0.005,-0.39%,$319.79 M,-33.59%
477,ILC,Ishares S&P/ASX 20 ETF,$23.04,+0.45,+1.99%,$319.78 M,-9.93%
478,CBR,Carbon Revolution Ltd,$2.39,-0.1,-4.02%,$319.08 M,-30.73%
479,ERD,Eroad Ltd,$3.89,+0.04,+1.04%,$318.56 M,-2.75%
480,BLX,Beacon Lighting Group Ltd,$1.41,-0.04,-2.76%,$314.88 M,+12.35%
481,ALG,Ardent Leisure Group Ltd,$0.655,+0.03,+4.80%,$314.21 M,-45.87%
482,MYD,Mydeal.com.Au Ltd,$1.21,+0.03,+2.54%,$313.18 M,-30.86%
483,PIXX,Platinum International Fund (Quoted Managed Hedge Fund),$4.36,+0.06,+1.40%,$312.06 M,-7.23%
484,EMR,Emerald Resources NL,$0.60,-0.01,-1.64%,$309.24 M,+46.34%
485,NEW,NEW Energy Solar,$0.86,+0.02,+2.38%,$305.53 M,-28.33%
486,INR,Ioneer Ltd,$0.18,-0.005,-2.70%,$302.79 M,-29.41%
487,-,OFX,OFX Group Ltd,$1.24,0.00,0.00%,$302.40 M
488,DJRE,SPDR Dow Jones Global Real Estate Fund,$18.18,+0.35,+1.96%,$300.23 M,-26.49%
489,-,SST,Steamships Trading Company Ltd,$9.65,0.00,0.00%,$299.23 M
490,-,ADN,Andromeda Metals Ltd,$0.16,0.00,0.00%,$298.44 M
491,ASG,Autosports Group Ltd,$1.48,-0.045,-2.95%,$297.48 M,-15.43%
492,PAC,Pacific Current Group Ltd,$5.85,-0.03,-0.51%,$297.29 M,-19.86%
493,HUO,Huon Aquaculture Group Ltd,$2.68,-0.03,-1.11%,$294.46 M,-40.97%
494,SO4,Salt Lake Potash Ltd,$0.50,+0.02,+4.17%,$292.66 M,-36.29%
495,PPE,People Infrastructure Ltd,$3.20,+0.06,+1.91%,$292.37 M,-3.32%
496,-,PSQ,Pacific Smiles Group Ltd,$1.90,0.00,0.00%,$291.68 M
497,DUB,Dubber Corporation Ltd,$1.215,+0.045,+3.85%,$291.62 M,-2.41%
498,-,TLG,Talga Resources Ltd,$1.10,0.00,0.00%,$290.53 M
499,SDG,Sunland Group Ltd,$2.12,+0.07,+3.42%,$290.25 M,+32.92%
500,PE1,Pengana Private Equity Trust,$1.21,+0.03,+2.54%,$289.55 M,-9.05%
501,EGD,Evans & Partners Global Disruption Fund,$2.88,+0.06,+2.13%,$288.80 M,+33.95%
502,BSE,Base Resources Ltd,$0.245,+0.005,+2.08%,$288.61 M,+4.26%
503,VDBA,Vanguard Diversified Balanced INDEX ETF,$54.30,+0.39,+0.72%,$282.46 M,-3.21%
504,WAX,Wam Research Ltd,$1.45,+0.02,+1.40%,$282.38 M,+1.05%
505,VDGR,Vanguard Diversified Growth INDEX ETF,$53.54,+0.55,+1.04%,$282.05 M,-4.27%
506,CLV,Clover Corporation Ltd,$1.69,+0.01,+0.60%,$281.06 M,-46.35%
507,IJP,Ishares MSCI Japan ETF,$84.44,+0.61,+0.73%,$280.47 M,-1.62%
508,BBUS,Betashares US Equities Strong Bear Currency Hedged (HF),$2.10,-0.07,-3.23%,$280.19 M,-38.42%
509,FLOT,Vaneck Vectors Australian Floating Rate ETF,$25.11,+0.005,+0.02%,$279.79 M,+0.24%
510,GRR,Grange Resources Ltd,$0.24,+0.005,+2.13%,$277.76 M,+14.29%
511,PFP,Propel Funeral Partners Ltd,$2.81,+0.04,+1.44%,$277.45 M,-9.36%
512,AMH,Amcil Ltd,$0.99,+0.03,+3.13%,$277.20 M,+7.61%
513,SWM,Seven West Media Ltd,$0.18,+0.005,+2.86%,$276.85 M,-58.62%
514,HLO,Helloworld Travel Ltd,$1.775,+0.1,+5.97%,$275.17 M,-59.46%
515,ABR,American Pacific Borates Ltd,$0.86,+0.025,+2.99%,$274.70 M,+177.42%
516,IMR,"Imricor Medical Systems, Inc",$2.68,-0.11,-3.94%,$274.57 M,+139.29%
517,-,MCP,Mcpherson's Ltd,$2.20,0.00,0.00%,$272.88 M
518,CL1,Class Ltd,$2.19,+0.1,+4.79%,$271.03 M,+14.06%
519,OBM,Ora Banda Mining Ltd,$0.32,+0.025,+8.48%,$268.29 M,+90.10%
520,-,PNR,Pantoro Ltd,$0.19,0.00,0.00%,$267.60 M
521,RIC,Ridley Corporation Ltd,$0.835,+0.01,+1.21%,$266.55 M,-26.43%
522,GSS,Genetic Signatures Ltd,$1.86,-0.01,-0.54%,$265.68 M,+93.75%
523,TNT,Tesserent Ltd,$0.33,+0.03,+10.00%,$264.83 M,+573.47%
524,TGG,Templeton Global Growth Fund Ltd,$1.315,-0.005,-0.38%,$260.50 M,+7.35%
525,IFRA,Vaneck Vectors Ftse Global Infrastructure (Hedged) ETF,$18.97,+0.3,+1.61%,$260.06 M,-13.73%
526,ZNO,ZOONO Group Ltd,$1.58,-0.01,-0.63%,$258.51 M,+953.33%
527,HACK,Betashares Global Cybersecurity ETF,$7.26,-0.01,-0.14%,$258.29 M,+2.25%
528,-,CAJ,Capitol Health Ltd,$0.25,0.00,0.00%,$256.28 M
529,-,GDF,Garda Property Group,$1.12,0.00,0.00%,$254.96 M
530,QOZ,Betashares Ftse Rafi Australia 200 ETF,$11.97,+0.26,+2.22%,$254.45 M,-13.76%
531,BET,Betmakers Technology Group Ltd,$0.42,+0.01,+2.44%,$252.11 M,+189.66%
532,MHG,Magellan Global Equities Fund Currency Hedged (Managed Fund),$3.54,+0.03,+0.86%,$251.97 M,+4.12%
533,LBY,Laybuy Group Holdings Ltd,$1.44,+0.01,+0.70%,$251.23 M,-29.76%
534,WDIV,SPDR S&P Global Dividend Fund,$15.11,+0.21,+1.41%,$250.74 M,-25.90%
535,XARO,Activex Ardea Real Outcome Bond Fund (Managed Fund),$26.61,-0.05,-0.19%,$250.30 M,+0.64%
536,YMAX,Betashares Aus Top 20 Equity Yield MAX Fund (Managed Fund),$7.07,+0.09,+1.29%,$249.33 M,-15.83%
537,CDP,Carindale Property Trust,$3.56,-0.03,-0.84%,$249.20 M,-41.64%
538,IHD,Ishares S&P/ASX Dividend Opportunities ETF,$12.03,+0.08,+0.67%,$248.13 M,-13.58%
539,RCB,Russell Investments Australian Select Corporate Bond ETF,$20.85,+0.02,+0.10%,$247.89 M,+0.48%
540,OTW,Over the Wire Holdings Ltd,$4.37,+0.09,+2.10%,$247.56 M,-7.42%
541,-,OMH,Om Holdings Ltd,$0.335,0.00,0.00%,$247.44 M
542,MAU,Magnetic Resources NL,$1.135,-0.04,-3.40%,$245.24 M,+114.15%
543,WGN,Wagners Holding Company Ltd,$1.31,+0.015,+1.16%,$245.23 M,-28.42%
544,PLUS,Vaneck Vectors Australian Corporate Bond Plus ETF,$18.80,+0.04,+0.21%,$245.09 M,+1.62%
545,-,WQG,WCM Global Growth Ltd,$1.40,0.00,0.00%,$244.85 M
546,RUL,Rpmglobal Holdings Ltd,$1.07,+0.05,+4.90%,$244.68 M,+28.14%
547,-,PDN,Paladin Energy Ltd,$0.12,0.00,0.00%,$243.35 M
548,NGI,Navigator Global Investments Ltd,$1.50,+0.05,+3.45%,$243.22 M,-39.02%
549,IMU,Imugene Ltd,$0.055,-0.001,-1.79%,$242.48 M,+139.13%
550,MGV,Musgrave Minerals Ltd,$0.51,+0.01,+2.00%,$242.14 M,+589.19%
551,RDV,Russell Investments High Dividend Australian Shares ETF,$23.92,+0.52,+2.22%,$242.05 M,-20.77%
552,NVA,Nova Minerals Ltd,$0.155,-0.005,-3.13%,$239.70 M,+318.92%
553,EOF,Ecofibre Ltd,$1.62,-0.03,-1.82%,$238.89 M,-52.63%
554,-,SNL,Supply Network Ltd,$5.85,0.00,0.00%,$238.88 M
555,EZL,EUROZ Ltd,$1.22,-0.035,-2.79%,$238.53 M,+18.45%
556,CDM,Cadence Capital Ltd,$0.785,+0.01,+1.29%,$236.26 M,+6.80%
557,RARI,Russell Investments Australian Responsible Investment ETF,$21.09,+0.39,+1.88%,$236.05 M,-18.26%
558,-,SKT,Sky Network Television Ltd,$0.135,0.00,0.00%,$235.75 M
559,TRS,The Reject Shop Ltd,$6.09,+0.17,+2.87%,$233.11 M,+132.20%
560,ANO,Advance Nanotek Ltd,$3.90,+0.05,+1.30%,$232.48 M,-33.80%
561,-,BCK,Brockman Mining Ltd,$0.025,0.00,0.00%,$231.98 M
562,-,HE8,Helios Energy Ltd,$0.15,0.00,0.00%,$231.84 M
563,MVF,Monash Ivf Group Ltd,$0.595,+0.025,+4.39%,$231.83 M,-37.54%
564,QHAL,Vaneck Vectors MSCI World Ex Australia Quality (Hedged) ETF,$30.82,+0.37,+1.22%,$231.80 M,+10.90%
565,WDMF,Ishares Edge MSCI World Multifactor ETF,$33.07,+0.57,+1.75%,$229.09 M,-2.28%
566,-,CVW,Clearview Wealth Ltd,$0.335,0.00,0.00%,$226.06 M
567,MME,Moneyme Ltd,$1.33,-0.005,-0.38%,$225.36 M,-22.67%
568,VAE,Vanguard Ftse Asia Ex Japan Shares INDEX ETF,$74.21,+0.89,+1.21%,$224.46 M,+10.71%
569,-,TWR,Tower Ltd,$0.53,0.00,0.00%,$223.47 M
570,ABA,Auswide Bank Ltd,$5.24,+0.26,+5.22%,$223.08 M,-4.73%
571,DGO,DGO Gold Ltd,$3.17,-0.04,-1.25%,$222.05 M,+230.21%
572,LVT,Livetiles Ltd,$0.245,+0.01,+4.26%,$221.00 M,-19.67%
573,SRV,Servcorp Ltd,$2.28,-0.06,-2.56%,$220.75 M,-47.71%
574,M7T,MACH7 Technologies Ltd,$0.94,+0.015,+1.62%,$220.54 M,+46.50%
575,SFG,Seafarms Group Ltd,$0.091,-0.002,-2.15%,$220.45 M,+9.64%
576,OPY,Openpay Group Ltd,$2.70,+0.1,+3.85%,$220.05 M,+103.77%
577,GEAR,Betashares Geared Australian Equity Fund (Hedge Fund),$18.55,+0.72,+4.04%,$219.67 M,-29.82%
578,WZR,Wisr Ltd,$0.20,+0.01,+5.26%,$219.06 M,+53.85%
579,USD,Betashares U.S. Dollar ETF,$13.67,-0.07,-0.51%,$218.29 M,-2.36%
