Rank,Company Code,Company Name,Price,Change,Percent,Market,Year
69,SVW,Seven Group Holdings Ltd,$20.03,+0.64,+3.30%,$6.80 B,+4.21%
70,ALD,Ampol Ltd,$25.88,+0.52,+2.05%,$6.46 B,-6.30%
71,TWE,Treasury Wine Estates Ltd,$8.95,-0.29,-3.14%,$6.46 B,-49.72%
72,SAR,Saracen Mineral Holdings Ltd,$5.77,+0.14,+2.49%,$6.39 B,+53.20%
73,MEZ,Meridian Energy Ltd,$5.09,+0.11,+2.21%,$6.39 B,+20.05%
74,ORI,Orica Ltd,$15.55,+0.49,+3.25%,$6.31 B,-34.19%
75,SOL,Washington H Soul Pattinson & Company Ltd,$25.76,+0.3,+1.18%,$6.17 B,+16.04%
76,VCX,Vicinity Centres,$1.32,+0.065,+5.18%,$6.01 B,-50.75%
77,BLD,Boral Ltd,$4.88,+0.07,+1.46%,$5.98 B,-2.79%
78,VAS,Vanguard Australian Shares INDEX ETF,$77.42,+1.47,+1.94%,$5.95 B,-8.50%
79,CHC,Charter Hall Group,$12.54,+0.27,+2.20%,$5.84 B,+10.19%
80,NXT,NEXTDC Ltd,$12.79,+0.13,+1.03%,$5.83 B,+94.38%
81,CWN,Crown Resorts Ltd,$8.57,+0.3,+3.63%,$5.80 B,-30.89%
82,AMP,AMP Ltd,$1.66,-0.02,-1.19%,$5.70 B,-10.03%
83,OSH,Oil Search Ltd,$2.73,+0.19,+7.48%,$5.67 B,-61.25%
84,HVN,Harvey Norman Holdings Ltd,$4.52,+0.1,+2.26%,$5.63 B,+8.92%
85,ALX,Atlas Arteria,$5.81,+0.19,+3.38%,$5.57 B,-27.41%
86,JBH,JB Hi-Fi Ltd,$48.17,+0.37,+0.77%,$5.53 B,+34.44%
87,ARG,Argo Investments Ltd,$7.54,+0.09,+1.21%,$5.45 B,-9.59%
88,ANN,Ansell Ltd,$41.91,+0.94,+2.29%,$5.39 B,+50.00%
89,IEL,Idp Education Ltd,$19.32,-0.41,-2.08%,$5.38 B,+8.60%
90,QUB,QUBE Holdings Ltd,$2.71,+0.09,+3.44%,$5.15 B,-16.29%
91,CAR,Carsales.com Ltd,$20.88,+0.28,+1.36%,$5.14 B,+31.99%
92,WOR,Worley Ltd,$9.75,+0.59,+6.44%,$5.09 B,-30.36%
93,OZL,OZ Minerals Ltd,$14.68,+0.13,+0.89%,$4.86 B,+41.43%
94,ALU,Altium Ltd,$36.98,+0.61,+1.68%,$4.84 B,+14.77%
95,MIN,Mineral Resources Ltd,$25.09,+0.76,+3.12%,$4.73 B,+75.46%
96,ALQ,Als Ltd,$9.49,+0.18,+1.93%,$4.58 B,+15.87%
97,CWY,Cleanaway Waste Management Ltd,$2.13,+0.07,+3.40%,$4.38 B,+14.21%
98,AWC,Alumina Ltd,$1.46,+0.035,+2.46%,$4.24 B,-37.61%
